Item:,Source:,Cost:,Total
Screws,https://www.aliexpress.us/item/3256802339245383.html?spm=a2g0o.cart.0.0.7a1938daQ49wN7&mp=1&pdp_npi=5%40dis%21USD%21USD%201.46%21USD%201.41%21%21USD%201.41%21%21%21%402103273e17501073692076879ef915%2112000021000038128%21ct%21US%213108417632%21%211%210&_gl=1*ga8tl1*_gcl_au*NDM2NDExMDYwLjE3NDk1NzAxOTM.*_ga*Nzg5NDk5ODkzLjE3NTAxMDU1ODU.*_ga_VED1YSGNC7*czE3NTAxMDU1ODQkbzEkZzEkdDE3NTAxMDczNzAkajUxJGwwJGgw&gatewayAdapt=glo2usa,$1.50 ,
Heat Set Inserts,https://www.aliexpress.us/item/3256807466816961.html?spm=a2g0o.cart.0.0.7a1938daQ49wN7&mp=1&pdp_npi=5%40dis%21USD%21USD%202.02%21USD%201.93%21%21USD%201.93%21%21%21%402103273e17501073692076879ef915%2112000041667111488%21ct%21US%213108417632%21%211%210&_gl=1*ga8tl1*_gcl_au*NDM2NDExMDYwLjE3NDk1NzAxOTM.*_ga*Nzg5NDk5ODkzLjE3NTAxMDU1ODU.*_ga_VED1YSGNC7*czE3NTAxMDU1ODQkbzEkZzEkdDE3NTAxMDczNzAkajUxJGwwJGgw&gatewayAdapt=glo2usa,$2 ,
Diodes,https://www.aliexpress.us/item/2255799955957794.html?spm=a2g0o.cart.0.0.7a1938daQ49wN7&mp=1&pdp_npi=5%40dis%21USD%21USD%201.42%21USD%201.42%21%21USD%201.39%21%21%21%402103273e17501073692076879ef915%2110000000428321629%21ct%21US%213108417632%21%211%210&_gl=1*ga8tl1*_gcl_au*NDM2NDExMDYwLjE3NDk1NzAxOTM.*_ga*Nzg5NDk5ODkzLjE3NTAxMDU1ODU.*_ga_VED1YSGNC7*czE3NTAxMDU1ODQkbzEkZzEkdDE3NTAxMDczNzAkajUxJGwwJGgw&gatewayAdapt=glo2usa,$1 ,
Cherry MX Switches,https://www.aliexpress.us/item/3256806069646359.html?spm=a2g0o.cart.0.0.7a1938daQ49wN7&mp=1&pdp_npi=5%40dis%21USD%21USD%2019.50%21USD%2018.55%21%21USD%2018.55%21%21%21%402103273e17501073692076879ef915%2112000036489552474%21ct%21US%213108417632%21%211%210&_gl=1*xvozit*_gcl_au*NDM2NDExMDYwLjE3NDk1NzAxOTM.*_ga*Nzg5NDk5ODkzLjE3NTAxMDU1ODU.*_ga_VED1YSGNC7*czE3NTAxMDU1ODQkbzEkZzEkdDE3NTAxMDczNzckajQ0JGwwJGgw&gatewayAdapt=glo2usa,$19 ,
Rotary Encoders,https://www.aliexpress.us/item/3256805010555504.html?spm=a2g0o.cart.0.0.7a1938daQ49wN7&mp=1&pdp_npi=5%40dis%21USD%21USD%201.59%21USD%201.57%21%21USD%201.57%21%21%21%402103273e17501073692076879ef915%2112000032095591035%21ct%21US%213108417632%21%212%210&_gl=1*b3zsk7*_gcl_au*NDM2NDExMDYwLjE3NDk1NzAxOTM.*_ga*Nzg5NDk5ODkzLjE3NTAxMDU1ODU.*_ga_VED1YSGNC7*czE3NTAxMDU1ODQkbzEkZzEkdDE3NTAxMDczNzgkajQzJGwwJGgw&gatewayAdapt=glo2usa,$3 ,
KeyCaps,https://www.aliexpress.us/item/3256802719703092.html?spm=a2g0o.cart.0.0.7a1938daQ49wN7&mp=1&pdp_npi=5%40dis%21USD%21USD%204.15%21USD%203.86%21%21USD%203.62%21%21%21%402103273e17501073692076879ef915%2112000025975791590%21ct%21US%213108417632%21%212%210&_gl=1*b3zsk7*_gcl_au*NDM2NDExMDYwLjE3NDk1NzAxOTM.*_ga*Nzg5NDk5ODkzLjE3NTAxMDU1ODU.*_ga_VED1YSGNC7*czE3NTAxMDU1ODQkbzEkZzEkdDE3NTAxMDczNzgkajQzJGwwJGgw&gatewayAdapt=glo2usa,$7 ,
Pogo Connectors,https://www.aliexpress.us/item/3256806345459324.html?spm=a2g0o.detail.0.0.9f08fUkJfUkJyL&mp=1&pdp_npi=5%40dis%21USD%21USD%206.80%21USD%206.80%21%21USD%206.80%21%21%21%402103273e17501073828027372ef915%2112000045728213793%21ct%21US%213108417632%21%213%210&_gl=1*1iabbhw*_gcl_au*NDM2NDExMDYwLjE3NDk1NzAxOTM.*_ga*Nzg5NDk5ODkzLjE3NTAxMDU1ODU.*_ga_VED1YSGNC7*czE3NTAxMDU1ODQkbzEkZzEkdDE3NTAxMDc3MDAkajE2JGwwJGgw&gatewayAdapt=glo2usa,$21 ,
Soldering Iron,https://www.aliexpress.us/item/3256806823950124.html?spm=a2g0o.cart.0.0.7a1938daQ49wN7&mp=1&pdp_npi=5%40dis%21USD%21USD%2019.24%21USD%207.89%21%21USD%207.89%21%21%21%402103273e17501073692076879ef915%2112000039050811400%21ct%21US%213108417632%21%211%210&_gl=1*y42j40*_gcl_au*NDM2NDExMDYwLjE3NDk1NzAxOTM.*_ga*Nzg5NDk5ODkzLjE3NTAxMDU1ODU.*_ga_VED1YSGNC7*czE3NTAxMDU1ODQkbzEkZzEkdDE3NTAxMDczODEkajQwJGwwJGgw&gatewayAdapt=glo2usa,$8 ,
XIAO Rp2040s,https://www.seeedstudio.com/Seeed-Studio-XIAO-RP2040-3PCS-p-5942.html,$27 ,
PCBs,https://www.pcbway.com/,$47.84 ,
Total,,,$148.23 (Includes Shipping and Taxes)
